visitor_pressure_rank,park,location,area_acres,visits_2025,visits_per_1000_acres,contiguous_us,established_destination,analysis_candidate
1,Death Valley,"California, Nevada",3408395.63,1320134,387.31829966581665,TRUE,TRUE,TRUE
2,Everglades,Florida,1508938.57,778198,515.7254347339004,TRUE,TRUE,TRUE
3,Big Bend,Texas,801163.21,568104,709.0989612466104,TRUE,TRUE,TRUE
4,Kings Canyon,California,461901.2,779791,1688.2203380289984,TRUE,TRUE,TRUE
5,Yellowstone,"Wyoming, Montana, Idaho",2219790.71,4762988,2145.6923747554565,TRUE,TRUE,TRUE
6,Canyonlands,Utah,337597.83,796057,2358.003900676731,TRUE,TRUE,TRUE
7,Glacier,Montana,1013126.39,3136557,3095.918762909729,TRUE,TRUE,TRUE
8,Sequoia,California,404062.63,1378337,3411.1964276429126,TRUE,TRUE,TRUE
9,Crater Lake,Oregon,183224.05,632242,3450.649628146524,TRUE,TRUE,TRUE
10,Grand Canyon,Arizona,1201647.03,4430653,3687.150127604443,TRUE,TRUE,TRUE
11,Joshua Tree,California,795155.8500000001,2932644,3688.1373632602963,TRUE,TRUE,TRUE
12,Olympic,Washington,922649.41,3584187,3884.668392081885,TRUE,TRUE,TRUE
13,White Sands,New Mexico,146344.31,659742,4508.149308982358,TRUE,TRUE,TRUE
14,Badlands,South Dakota,242755.94,1139361,4693.442310824608,TRUE,TRUE,TRUE
15,Lassen Volcanic,California,106589.02,504777,4735.731691688318,TRUE,TRUE,TRUE
16,Yosemite,California,761747.5,4278413,5616.576358964093,TRUE,TRUE,TRUE
17,Capitol Reef,Utah,241904.5,1388476,5739.7692064430385,TRUE,TRUE,TRUE
18,Mount Rainier,Washington,236381.64,1635342,6918.227659305519,TRUE,TRUE,TRUE
19,Shenandoah,Virginia,200445.91999999998,1682152,8392.049087354835,TRUE,TRUE,TRUE
20,Redwood,California,138999.37,1202480,8650.974461251155,TRUE,TRUE,TRUE
21,Mammoth Cave,Kentucky,72472.87000000001,660734,9116.98405210115,TRUE,TRUE,TRUE
22,Saguaro,Arizona,92876.75,847749,9127.677271222346,TRUE,TRUE,TRUE
23,Theodore Roosevelt,North Dakota,70446.89,729893,10360.897407962226,TRUE,TRUE,TRUE
24,Grand Teton,Wyoming,310044.36,3800648,12258.400701112578,TRUE,TRUE,TRUE
25,Rocky Mountain,Colorado,265847.74,4171431,15691.05308173769,TRUE,TRUE,TRUE
26,Wind Cave,South Dakota,33970.840000000004,606258,17846.423579752514,TRUE,TRUE,TRUE
27,Arches,Utah,76678.98,1511740,19715.181396518317,TRUE,TRUE,TRUE
28,Great Smoky Mountains,"North Carolina, Tennessee",522426.88,11527939,22066.1291394501,TRUE,TRUE,TRUE
29,Zion,Utah,147242.66,4984525,33852.45145666344,TRUE,TRUE,TRUE
30,Bryce Canyon,Utah,35835.08,1967367,54900.58903175323,TRUE,TRUE,TRUE
31,Acadia,Maine,49071.4,4079318,83130.25509767399,TRUE,TRUE,TRUE
32,Cuyahoga Valley,Ohio,32571.89,3025325,92881.46926690469,TRUE,TRUE,TRUE
33,Indiana Dunes,Indiana,15349.08,2629497,171313.0037761221,TRUE,TRUE,TRUE
34,New River Gorge,West Virginia,7021,1958440,278940.3218914685,TRUE,TRUE,TRUE
35,Hot Springs,Arkansas,5554.1500000000005,2494611,449143.61333417345,TRUE,TRUE,TRUE
36,Gateway Arch,Missouri,192.83,2209028,11455831.561479023,TRUE,TRUE,TRUE
