park,location,area_acres,visits_2025,visits_per_1000_acres,contiguous_us,established_destination,analysis_candidate
Acadia,Maine,49071.4,4079318,83130.25509767399,TRUE,TRUE,TRUE
American Samoa,American Samoa,8256.67,43258,5239.158159403246,FALSE,FALSE,FALSE
Arches,Utah,76678.98,1511740,19715.181396518317,TRUE,TRUE,TRUE
Badlands,South Dakota,242755.94,1139361,4693.442310824608,TRUE,TRUE,TRUE
Big Bend,Texas,801163.21,568104,709.0989612466104,TRUE,TRUE,TRUE
Biscayne,Florida,172971.11000000002,486567,2812.9957655934563,TRUE,FALSE,FALSE
Black Canyon of the Gunnison,Colorado,30779.829999999998,250086,8124.996141954001,TRUE,FALSE,FALSE
Bryce Canyon,Utah,35835.08,1967367,54900.58903175323,TRUE,TRUE,TRUE
Canyonlands,Utah,337597.83,796057,2358.003900676731,TRUE,TRUE,TRUE
Capitol Reef,Utah,241904.5,1388476,5739.7692064430385,TRUE,TRUE,TRUE
Carlsbad Caverns,New Mexico,46766.450000000004,410778,8783.604485694337,TRUE,FALSE,FALSE
Channel Islands,California,249561,227186,910.3425615380609,TRUE,FALSE,FALSE
Congaree,South Carolina,26692.6,287833,10783.250788608078,TRUE,FALSE,FALSE
Crater Lake,Oregon,183224.05,632242,3450.649628146524,TRUE,TRUE,TRUE
Cuyahoga Valley,Ohio,32571.89,3025325,92881.46926690469,TRUE,TRUE,TRUE
Death Valley,"California, Nevada",3408395.63,1320134,387.31829966581665,TRUE,TRUE,TRUE
Denali,Alaska,4740911.159999999,543300,114.59822419452384,FALSE,TRUE,FALSE
Dry Tortugas,Florida,64701.219999999994,89355,1381.0404193305785,TRUE,FALSE,FALSE
Everglades,Florida,1508938.57,778198,515.7254347339004,TRUE,TRUE,TRUE
Gates of the Arctic,Alaska,7523897.45,14923,1.9834135299119473,FALSE,FALSE,FALSE
Gateway Arch,Missouri,192.83,2209028,11455831.561479023,TRUE,TRUE,TRUE
Glacier,Montana,1013126.39,3136557,3095.918762909729,TRUE,TRUE,TRUE
Glacier Bay,Alaska,3223383.4299999997,740044,229.58609053841295,FALSE,TRUE,FALSE
Grand Canyon,Arizona,1201647.03,4430653,3687.150127604443,TRUE,TRUE,TRUE
Grand Teton,Wyoming,310044.36,3800648,12258.400701112578,TRUE,TRUE,TRUE
Great Basin,Nevada,77180,161210,2088.7535630992484,TRUE,FALSE,FALSE
Great Sand Dunes,Colorado,107345.73,432498,4029.0191328523274,TRUE,FALSE,FALSE
Great Smoky Mountains,"North Carolina, Tennessee",522426.88,11527939,22066.1291394501,TRUE,TRUE,TRUE
Guadalupe Mountains,Texas,86367.1,206423,2390.065198437831,TRUE,FALSE,FALSE
Haleakalā,Hawaii,33488.98,853711,25492.296271788506,FALSE,TRUE,FALSE
Hawaiʻi Volcanoes,Hawaii,344812.18,1877854,5446.019917277864,FALSE,TRUE,FALSE
Hot Springs,Arkansas,5554.1500000000005,2494611,449143.61333417345,TRUE,TRUE,TRUE
Indiana Dunes,Indiana,15349.08,2629497,171313.0037761221,TRUE,TRUE,TRUE
Isle Royale,Michigan,571790.3,29091,50.87704355950075,TRUE,FALSE,FALSE
Joshua Tree,California,795155.8500000001,2932644,3688.1373632602963,TRUE,TRUE,TRUE
Katmai,Alaska,3674529.3299999996,34479,9.383242560755395,FALSE,FALSE,FALSE
Kenai Fjords,Alaska,669650.05,425369,635.2108836548283,FALSE,FALSE,FALSE
Kings Canyon,California,461901.2,779791,1688.2203380289984,TRUE,TRUE,TRUE
Kobuk Valley,Alaska,1750716.1600000001,7786,4.447322860148843,FALSE,FALSE,FALSE
Lake Clark,Alaska,2619816.4899999998,19778,7.549383735652417,FALSE,FALSE,FALSE
Lassen Volcanic,California,106589.02,504777,4735.731691688318,TRUE,TRUE,TRUE
Mammoth Cave,Kentucky,72472.87000000001,660734,9116.98405210115,TRUE,TRUE,TRUE
Mesa Verde,Colorado,52485.17,463130,8824.016384056678,TRUE,FALSE,FALSE
Mount Rainier,Washington,236381.64,1635342,6918.227659305519,TRUE,TRUE,TRUE
New River Gorge,West Virginia,7021,1958440,278940.3218914685,TRUE,TRUE,TRUE
North Cascades,Washington,504780.94,46925,92.96111695501023,TRUE,FALSE,FALSE
Olympic,Washington,922649.41,3584187,3884.668392081885,TRUE,TRUE,TRUE
Petrified Forest,Arizona,221390.21000000002,315951,1427.1227259778107,TRUE,FALSE,FALSE
Pinnacles,California,26685.73,343208,12861.10591690765,TRUE,FALSE,FALSE
Redwood,California,138999.37,1202480,8650.974461251155,TRUE,TRUE,TRUE
Rocky Mountain,Colorado,265847.74,4171431,15691.05308173769,TRUE,TRUE,TRUE
Saguaro,Arizona,92876.75,847749,9127.677271222346,TRUE,TRUE,TRUE
Sequoia,California,404062.63,1378337,3411.1964276429126,TRUE,TRUE,TRUE
Shenandoah,Virginia,200445.91999999998,1682152,8392.049087354835,TRUE,TRUE,TRUE
Theodore Roosevelt,North Dakota,70446.89,729893,10360.897407962226,TRUE,TRUE,TRUE
Virgin Islands,U.S. Virgin Islands,15052.33,471074,31295.752883440637,FALSE,FALSE,FALSE
Voyageurs,Minnesota,218222.34999999998,206326,945.485189761727,TRUE,FALSE,FALSE
White Sands,New Mexico,146344.31,659742,4508.149308982358,TRUE,TRUE,TRUE
Wind Cave,South Dakota,33970.840000000004,606258,17846.423579752514,TRUE,TRUE,TRUE
Wrangell–St. Elias,Alaska,8323146.48,108840,13.076785355338355,FALSE,FALSE,FALSE
Yellowstone,"Wyoming, Montana, Idaho",2219790.71,4762988,2145.6923747554565,TRUE,TRUE,TRUE
Yosemite,California,761747.5,4278413,5616.576358964093,TRUE,TRUE,TRUE
Zion,Utah,147242.66,4984525,33852.45145666344,TRUE,TRUE,TRUE
