park,location,area_acres,visits_2025,visits_per_1000_acres
Acadia,Maine,49071.4,4079318,83130.25509767399
American Samoa,American Samoa,8256.67,43258,5239.158159403246
Arches,Utah,76678.98,1511740,19715.181396518317
Badlands,South Dakota,242755.94,1139361,4693.442310824608
Big Bend,Texas,801163.21,568104,709.0989612466104
Biscayne,Florida,172971.11000000002,486567,2812.9957655934563
Black Canyon of the Gunnison,Colorado,30779.829999999998,250086,8124.996141954001
Bryce Canyon,Utah,35835.08,1967367,54900.58903175323
Canyonlands,Utah,337597.83,796057,2358.003900676731
Capitol Reef,Utah,241904.5,1388476,5739.7692064430385
Carlsbad Caverns,New Mexico,46766.450000000004,410778,8783.604485694337
Channel Islands,California,249561,227186,910.3425615380609
Congaree,South Carolina,26692.6,287833,10783.250788608078
Crater Lake,Oregon,183224.05,632242,3450.649628146524
Cuyahoga Valley,Ohio,32571.89,3025325,92881.46926690469
Death Valley,"California, Nevada",3408395.63,1320134,387.31829966581665
Denali,Alaska,4740911.159999999,543300,114.59822419452384
Dry Tortugas,Florida,64701.219999999994,89355,1381.0404193305785
Everglades,Florida,1508938.57,778198,515.7254347339004
Gates of the Arctic,Alaska,7523897.45,14923,1.9834135299119473
Gateway Arch,Missouri,192.83,2209028,11455831.561479023
Glacier,Montana,1013126.39,3136557,3095.918762909729
Glacier Bay,Alaska,3223383.4299999997,740044,229.58609053841295
Grand Canyon,Arizona,1201647.03,4430653,3687.150127604443
Grand Teton,Wyoming,310044.36,3800648,12258.400701112578
Great Basin,Nevada,77180,161210,2088.7535630992484
Great Sand Dunes,Colorado,107345.73,432498,4029.0191328523274
Great Smoky Mountains,"North Carolina, Tennessee",522426.88,11527939,22066.1291394501
Guadalupe Mountains,Texas,86367.1,206423,2390.065198437831
Haleakalā,Hawaii,33488.98,853711,25492.296271788506
Hawaiʻi Volcanoes,Hawaii,344812.18,1877854,5446.019917277864
Hot Springs,Arkansas,5554.1500000000005,2494611,449143.61333417345
Indiana Dunes,Indiana,15349.08,2629497,171313.0037761221
Isle Royale,Michigan,571790.3,29091,50.87704355950075
Joshua Tree,California,795155.8500000001,2932644,3688.1373632602963
Katmai,Alaska,3674529.3299999996,34479,9.383242560755395
Kenai Fjords,Alaska,669650.05,425369,635.2108836548283
Kings Canyon,California,461901.2,779791,1688.2203380289984
Kobuk Valley,Alaska,1750716.1600000001,7786,4.447322860148843
Lake Clark,Alaska,2619816.4899999998,19778,7.549383735652417
Lassen Volcanic,California,106589.02,504777,4735.731691688318
Mammoth Cave,Kentucky,72472.87000000001,660734,9116.98405210115
Mesa Verde,Colorado,52485.17,463130,8824.016384056678
Mount Rainier,Washington,236381.64,1635342,6918.227659305519
New River Gorge,West Virginia,7021,1958440,278940.3218914685
North Cascades,Washington,504780.94,46925,92.96111695501023
Olympic,Washington,922649.41,3584187,3884.668392081885
Petrified Forest,Arizona,221390.21000000002,315951,1427.1227259778107
Pinnacles,California,26685.73,343208,12861.10591690765
Redwood,California,138999.37,1202480,8650.974461251155
Rocky Mountain,Colorado,265847.74,4171431,15691.05308173769
Saguaro,Arizona,92876.75,847749,9127.677271222346
Sequoia,California,404062.63,1378337,3411.1964276429126
Shenandoah,Virginia,200445.91999999998,1682152,8392.049087354835
Theodore Roosevelt,North Dakota,70446.89,729893,10360.897407962226
Virgin Islands,U.S. Virgin Islands,15052.33,471074,31295.752883440637
Voyageurs,Minnesota,218222.34999999998,206326,945.485189761727
White Sands,New Mexico,146344.31,659742,4508.149308982358
Wind Cave,South Dakota,33970.840000000004,606258,17846.423579752514
Wrangell–St. Elias,Alaska,8323146.48,108840,13.076785355338355
Yellowstone,"Wyoming, Montana, Idaho",2219790.71,4762988,2145.6923747554565
Yosemite,California,761747.5,4278413,5616.576358964093
Zion,Utah,147242.66,4984525,33852.45145666344
